ssrcss-gfjuy9-Timestamp,visually-hidden,ssrcss-yjj6jm-LinkPostHeadline,ssrcss-61mhsj-MetadataText
06:03 29 May,"Colitis patient hopes to make fitness history, published at 06:03 29 May",Colitis patient hopes to make fitness history,Hampshire & Isle of Wight
05:59 29 May,"EastEnders actor's anger over Pip changes, published at 05:59 29 May",EastEnders actor's anger over Pip changes,London
21:06 28 May,"Paralympic gold aim after brain tumour and stroke, published at 21:06 28 May",Paralympic gold aim after brain tumour and stroke,Coventry & Warwickshire
12:11 28 May,"Disabled student films bus trips to show challenges, published at 12:11 28 May",Disabled student films bus trips to show challenges,England
06:09 28 May,"Disabled bus pass U-turn in East Sussex, published at 06:09 28 May",Disabled bus pass U-turn in East Sussex,Sussex
17:14 27 May,"Canine calming helps students in exam season, published at 17:14 27 May",Canine calming helps students in exam season,North Yorkshire
14:35 27 May,"Adolescence writer says benefit cuts 'punching down' on disabled people, published at 14:35 27 May",Adolescence writer says benefit cuts 'punching down' on disabled people,Disability
12:08 27 May,"Hearing dogs lend a paw to stressed students. Video, 00:00:48, published at 12:08 27 May",Hearing dogs lend a paw to stressed students,North Yorkshire
12:07 27 May,"Installation of new railway footbridge delayed, published at 12:07 27 May",Installation of new railway footbridge delayed,Suffolk
11:21 27 May,"Parents 'so worried' about plan to cut teaching assistants, published at 11:21 27 May",Parents 'so worried' about plan to cut teaching assistants,Bristol
06:09 27 May,"Para-driver hopes for 'swan song' competition, published at 06:09 27 May",Para-driver hopes for 'swan song' competition,Stoke & Staffordshire
21:36 26 May,"How life-changing assistance dogs are raised. Video, 00:01:06, published at 21:36 26 May",How life-changing assistance dogs are raised,Disability
15:38 26 May,"How life-changing assistance dogs are raised, published at 15:38 26 May",How life-changing assistance dogs are raised,Oxfordshire
07:20 26 May,"Sight loss charity's plea to TT riders and visitors, published at 07:20 26 May",Sight loss charity's plea to TT riders and visitors,Isle of Man
06:28 26 May,"Charity hopes more people will learn Braille, published at 06:28 26 May",Charity hopes more people will learn Braille,Jersey
07:08 24 May,"Student 'so grateful' for life-changing support dog, published at 07:08 24 May",Student 'so grateful' for life-changing support dog,England
15:13 23 May,"Secure hospital detention 'scarred' autistic woman, published at 15:13 23 May",Secure hospital detention 'scarred' autistic woman,Oxfordshire
06:22 22 May,"Mum lands dream home for disabled son, published at 06:22 22 May",Mum lands dream home for disabled son,Lincolnshire
06:15 22 May,"Consultation over fee for special needs transport, published at 06:15 22 May",Consultation over fee for special needs transport,Wolverhampton
18:05 20 May,"Deaf people still struggling, nurse tells inquest, published at 18:05 20 May","Deaf people still struggling, nurse tells inquest",Sussex
16:37 20 May,"Garden inspired by boy with Down's syndrome wins Chelsea prize, published at 16:37 20 May",Garden inspired by boy with Down's syndrome wins Chelsea prize,South Scotland
15:05 20 May,"Do not 'talk down' Surrey's SEND service, MPs told, published at 15:05 20 May","Do not 'talk down' Surrey's SEND service, MPs told",Surrey
13:07 20 May,"Artist wins award for exhibition exploring disability, published at 13:07 20 May",Artist wins award for exhibition exploring disability,Hull & East Yorkshire
06:21 20 May,"'We quit nine-to-five to launch disability-led firm', published at 06:21 20 May",'We quit nine-to-five to launch disability-led firm',Dorset
06:19 20 May,"'We have shared our home with strangers for 27 years', published at 06:19 20 May",'We have shared our home with strangers for 27 years',Oxfordshire
06:08 20 May,"Council to debate closure of 'lifeline' day centre, published at 06:08 20 May",Council to debate closure of 'lifeline' day centre,Sussex
08:42 19 May,"'I fear my son will never be given a school place', published at 08:42 19 May",'I fear my son will never be given a school place',Cumbria
15:58 18 May,"'Going to A&E is unbearable for my autistic son', published at 15:58 18 May",'Going to A&E is unbearable for my autistic son',Wales
14:52 18 May,"New service for special educational needs pupils, published at 14:52 18 May",New service for special educational needs pupils,Hereford & Worcester
11:31 18 May,"'I flourished playing bowls after a stroke at 47', published at 11:31 18 May",'I flourished playing bowls after a stroke at 47',"Beds, Herts & Bucks"
09:04 18 May,"Benefit cuts a 'perfect storm for claimants', published at 09:04 18 May",Benefit cuts a 'perfect storm for claimants',Tyne
07:18 18 May,"Blind athletes say goalball helps beat isolation, published at 07:18 18 May",Blind athletes say goalball helps beat isolation,Birmingham & Black Country
06:13 18 May,"Mental health day for Send pupils 'incredible', published at 06:13 18 May",Mental health day for Send pupils 'incredible',"Beds, Herts & Bucks"
00:57 18 May,"'I was refused service in a cafe because of my face', published at 00:57 18 May",'I was refused service in a cafe because of my face',Birmingham & Black Country
06:54 17 May,"'I play my violin like a tiny cello' Video, 00:01:01, published at 06:54 17 May",'I play my violin like a tiny cello',Disability
06:24 17 May,"Story of sign-language educated pair 'remarkable', published at 06:24 17 May",Story of sign-language educated pair 'remarkable',Suffolk
13:27 16 May,"Council publishes SEND improvement plan, published at 13:27 16 May",Council publishes SEND improvement plan,Berkshire
06:41 16 May,"All-inclusive musical theatre school set to open , published at 06:41 16 May",All-inclusive musical theatre school set to open,Wiltshire
06:34 16 May,"Guide dog 'life-enhancing' for blind personal trainer, published at 06:34 16 May",Guide dog 'life-enhancing' for blind personal trainer,Gloucestershire
06:26 16 May,"'Prince William hugged me after chat about his mum', published at 06:26 16 May",'Prince William hugged me after chat about his mum',Derbyshire
14:49 15 May,"Parents demand special needs improvements, published at 14:49 15 May",Parents demand special needs improvements,Hereford & Worcester
06:48 15 May,"Mums celebrate longer opening of inclusive toilet, published at 06:48 15 May",Mums celebrate longer opening of inclusive toilet,Wiltshire
06:39 15 May,"Improved disabled toilet at hospital opens, published at 06:39 15 May",Improved disabled toilet at hospital opens,Isle of Man
05:41 15 May,"Major disability golf championship tees off , published at 05:41 15 May",Major disability golf championship tees off,England
05:34 15 May,"Former recording studio could become care home, published at 05:34 15 May",Former recording studio could become care home,Peterborough
05:34 15 May,"Sight impaired rowers are empowered by headset, published at 05:34 15 May",Sight impaired rowers are empowered by headset,Peterborough
08:10 14 May,"Council to increase school transport payments, published at 08:10 14 May",Council to increase school transport payments,England
07:05 14 May,"Guide dog user warns taxi drivers to follow law, published at 07:05 14 May",Guide dog user warns taxi drivers to follow law,Hull & East Yorkshire
06:04 14 May,"Campaigners relieved after disabilities hub saved, published at 06:04 14 May",Campaigners relieved after disabilities hub saved,Peterborough
08:09 13 May,"Special school options announced after protests, published at 08:09 13 May",Special school options announced after protests,Wales
05:13 13 May,"'I am proud of my bionic ears', published at 05:13 13 May",'I am proud of my bionic ears',Cambridgeshire
19:06 12 May,"Gold-winning Paralympic equestrian star dies aged 76, published at 19:06 12 May",Gold-winning Paralympic equestrian star dies aged 76,Wiltshire
06:42 12 May,"Disabled commuter calls for bus pass rule change, published at 06:42 12 May",Disabled commuter calls for bus pass rule change,North Yorkshire
06:08 12 May,"Disability group hits 50,000km milestone, published at 06:08 12 May","Disability group hits 50,000km milestone",Devon
05:24 12 May,"Dispute over therapy donkeys divides village, published at 05:24 12 May",Dispute over therapy donkeys divides village,Norfolk
07:10 11 May,"Awareness week aims to 'amplify deaf voices', published at 07:10 11 May",Awareness week aims to 'amplify deaf voices',Isle of Man
06:16 11 May,"'I am deaf' cards issued by police for emergencies, published at 06:16 11 May",'I am deaf' cards issued by police for emergencies,Cambridgeshire
12:13 10 May,"Deaf students teach lifeguards sign language, published at 12:13 10 May",Deaf students teach lifeguards sign language,Devon
07:28 10 May,"Donations to Shopmobility customers as service ends, published at 07:28 10 May",Donations to Shopmobility customers as service ends,Wolverhampton
06:23 8 May,"Deaf swimmer fundraises to attend Tokyo games, published at 06:23 8 May",Deaf swimmer fundraises to attend Tokyo games,North Yorkshire
08:02 7 May,"Woman losing sight climbs three mountains, published at 08:02 7 May",Woman losing sight climbs three mountains,Suffolk
06:21 6 May,"Dad designs sensory-friendly jacket for neurodivergent son. Video, 00:01:09, published at 06:21 6 May",Dad designs sensory-friendly jacket for neurodivergent son,
06:16 6 May,"School head awarded top Hungarian honour, published at 06:16 6 May",School head awarded top Hungarian honour,Northern Ireland
06:12 6 May,"Woman 'will not be able to live without benefits', published at 06:12 6 May",Woman 'will not be able to live without benefits',Cornwall
06:04 6 May,"School promises improvements over bullying claims, published at 06:04 6 May",School promises improvements over bullying claims,Birmingham & Black Country
08:01 5 May,"Vulnerable man wrongly had care ended - ombudsman, published at 08:01 5 May",Vulnerable man wrongly had care ended - ombudsman,London
07:37 5 May,"Karate kid to compete in European championships, published at 07:37 5 May",Karate kid to compete in European championships,
06:49 5 May,"When keeping quiet turns toxic. Video, 00:00:35, published at 06:49 5 May",When keeping quiet turns toxic,Disability
15:24 4 May,"Veteran runs 10k for charity after losing sight, published at 15:24 4 May",Veteran runs 10k for charity after losing sight,Somerset
09:41 4 May,"'I spent two years in bed then I found garden therapy', published at 09:41 4 May",'I spent two years in bed then I found garden therapy',North Yorkshire
05:31 4 May,"Blind boy raises £12,500 to 'give back', published at 05:31 4 May","Blind boy raises £12,500 to 'give back'",England
12:04 3 May,"Puppy raisers sought to help train more guide dogs, published at 12:04 3 May",Puppy raisers sought to help train more guide dogs,England
05:30 3 May,"Yoga teacher losing sight says it won't stop her, published at 05:30 3 May",Yoga teacher losing sight says it won't stop her,Suffolk
18:54 2 May,"Ex-mining town worst hit by Pip cuts, study claims, published at 18:54 2 May","Ex-mining town worst hit by Pip cuts, study claims",England
09:42 1 May,"'I could sing before I could speak after my stroke', published at 09:42 1 May",'I could sing before I could speak after my stroke',Northern Ireland
06:22 1 May,"Guinea pig visits proving a hit with library group. Video, 00:00:47, published at 06:22 1 May",Guinea pig visits proving a hit with library group,Gloucestershire
20:47 30 April,"Council to cut post-16 school SEND transport, published at 20:47 30 April",Council to cut post-16 school SEND transport,Tees
06:17 30 April,"SEND teenagers 'left in limbo' over work scheme, published at 06:17 30 April",SEND teenagers 'left in limbo' over work scheme,Somerset
06:09 30 April,"Farm accessibility improved thanks to funding, published at 06:09 30 April",Farm accessibility improved thanks to funding,Surrey
06:05 30 April,"Mum given £3.5k pay-out over education plan failure, published at 06:05 30 April",Mum given £3.5k pay-out over education plan failure,Liverpool
06:22 29 April,"Blind Paralympic judo hopeful appeals for help, published at 06:22 29 April",Blind Paralympic judo hopeful appeals for help,Stoke & Staffordshire
21:51 28 April,"Paralympian missing in Las Vegas found - police, published at 21:51 28 April",Paralympian missing in Las Vegas found - police,Coventry & Warwickshire
20:41 28 April,"Paralympian breaks marathon record on crutches, published at 20:41 28 April",Paralympian breaks marathon record on crutches,Devon
18:08 28 April,"Autistic athlete smashes two world records, published at 18:08 28 April",Autistic athlete smashes two world records,Hull & East Yorkshire
16:53 28 April,"SEND child left without schooling for a year - MP, published at 16:53 28 April",SEND child left without schooling for a year - MP,Surrey
16:30 28 April,"Blind veteran makes candles for VE Day, published at 16:30 28 April",Blind veteran makes candles for VE Day,Dorset
13:59 28 April,"Man completes own London Marathon – 200 miles away, published at 13:59 28 April",Man completes own London Marathon – 200 miles away,Hull & East Yorkshire
06:14 28 April,"Priority seats redesigned for London transport, published at 06:14 28 April",Priority seats redesigned for London transport,London
20:37 27 April,"British Paralympian reported missing in Las Vegas, published at 20:37 27 April",British Paralympian reported missing in Las Vegas,Coventry & Warwickshire
10:30 26 April,"'You can do anything' - visually impaired runner, published at 10:30 26 April",'You can do anything' - visually impaired runner,Lincolnshire
09:26 26 April,"'Swimming mirrors my cystic fibrosis treatment', published at 09:26 26 April",'Swimming mirrors my cystic fibrosis treatment',England
09:26 26 April,"'Swimming mirrors my cystic fibrosis treatment', published at 09:26 26 April",'Swimming mirrors my cystic fibrosis treatment',England
07:18 26 April,"Blind woman to cycle 14 miles for cancer charity, published at 07:18 26 April",Blind woman to cycle 14 miles for cancer charity,Gloucestershire
07:00 26 April,"'I made my cochlear implant a fashion accessory' , published at 07:00 26 April",'I made my cochlear implant a fashion accessory',Leicestershire
18:05 25 April,"Looking to the past to uncover the truth. Video, 00:00:55, published at 18:05 25 April",Looking to the past to uncover the truth,Disability
15:49 25 April,"'NHS did not take my hearing impairment seriously', published at 15:49 25 April",'NHS did not take my hearing impairment seriously',Suffolk
10:27 25 April,"Hydrotherapy pool could close as energy bills soar, published at 10:27 25 April",Hydrotherapy pool could close as energy bills soar,Lincolnshire
06:30 25 April,"Oliver McGowan training 'lifted scales from my eyes', published at 06:30 25 April",Oliver McGowan training 'lifted scales from my eyes',England
06:10 25 April,"'I'm running the marathon for my daughter', published at 06:10 25 April",'I'm running the marathon for my daughter',Coventry & Warwickshire
18:29 24 April,"Crew 'insufficiently trained' to save drowning woman, published at 18:29 24 April",Crew 'insufficiently trained' to save drowning woman,Hampshire & Isle of Wight
10:57 24 April,"'National scandal' as more help needed for deaf patients, published at 10:57 24 April",'National scandal' as more help needed for deaf patients,Wales
10:56 24 April,"Child with Down's syndrome finds success in modelling, published at 10:56 24 April",Child with Down's syndrome finds success in modelling,Bristol
06:56 24 April,"Care agency rating upgraded after improvements, published at 06:56 24 April",Care agency rating upgraded after improvements,West Yorkshire
05:41 24 April,"New boardwalk makes nature reserve accessible to all, published at 05:41 24 April",New boardwalk makes nature reserve accessible to all,Norfolk
17:40 23 April,"Barriers removed from coastal park over access concerns, published at 17:40 23 April",Barriers removed from coastal park over access concerns,Wales
06:26 23 April,"Apology for autistic teen left without school for over a year, published at 06:26 23 April",Apology for autistic teen left without school for over a year,Northern Ireland
06:10 23 April,"'I'm a blind sailor – I do it for the adrenaline', published at 06:10 23 April",'I'm a blind sailor – I do it for the adrenaline',Bristol
17:23 22 April,"'I was told I had an ear infection, now I'm deaf', published at 17:23 22 April","'I was told I had an ear infection, now I'm deaf'",South Yorkshire
06:09 22 April,"Better concert accessibility promised after talks, published at 06:09 22 April",Better concert accessibility promised after talks,Lincolnshire
19:42 20 April,"School aiming to raise £80k for new playground, published at 19:42 20 April",School aiming to raise £80k for new playground,Gloucestershire
07:11 20 April,"'Why I'm running a marathon dressed as a dog', published at 07:11 20 April",'Why I'm running a marathon dressed as a dog',Hereford & Worcester
01:04 20 April,"'Why I want an IVF baby to screen out gene that made me go blind', published at 01:04 20 April",'Why I want an IVF baby to screen out gene that made me go blind',Disability
12:28 19 April,"Boy inspires charity to help others hit the surf, published at 12:28 19 April",Boy inspires charity to help others hit the surf,England
00:09 19 April,"'You don't look like someone who gets an MBE', published at 00:09 19 April",'You don't look like someone who gets an MBE',Disability
10:59 18 April,"Herne Bay station gets £6m accessibility boost, published at 10:59 18 April",Herne Bay station gets £6m accessibility boost,Kent
07:10 18 April,"'I once cried every day but now I love my face', published at 07:10 18 April",'I once cried every day but now I love my face',Derbyshire
07:06 18 April,"'I was told I shouldn't be a mum because I'm blind', published at 07:06 18 April",'I was told I shouldn't be a mum because I'm blind',Wales
06:06 18 April,"Mechanical horse ride unveiled for children, published at 06:06 18 April",Mechanical horse ride unveiled for children,Northamptonshire
12:03 17 April,"Headteacher 'hopeful' after school closure paused, published at 12:03 17 April",Headteacher 'hopeful' after school closure paused,West Yorkshire
06:41 17 April,"'Blind goggles help highlight access issues' , published at 06:41 17 April",'Blind goggles help highlight access issues',Hampshire & Isle of Wight
06:23 17 April,"'My disabled mum is being forced to retire from her day centre', published at 06:23 17 April",'My disabled mum is being forced to retire from her day centre',Northern Ireland
05:43 17 April,"Smokey the visually impaired horse given new home, published at 05:43 17 April",Smokey the visually impaired horse given new home,Norfolk
05:37 17 April,"Future of disabilities hub subject to consultation, published at 05:37 17 April",Future of disabilities hub subject to consultation,Peterborough
06:49 16 April,"'I'm an adult now - why am I being treated differently?', published at 06:49 16 April",'I'm an adult now - why am I being treated differently?',Northern Ireland
06:16 16 April,"Paralympic star in hotel after no-fault eviction, published at 06:16 16 April",Paralympic star in hotel after no-fault eviction,Manchester
06:10 16 April,"'We overcame our differences to reach GB squad', published at 06:10 16 April",'We overcame our differences to reach GB squad',England
06:26 15 April,"Work experience key for SEND students - college , published at 06:26 15 April",Work experience key for SEND students - college,Shropshire
06:17 15 April,"What's a sign name? Rose Ayling-Ellis explains. Video, 00:00:37, published at 06:17 15 April",What's a sign name? Rose Ayling-Ellis explains,Disability
06:05 15 April,"Mother 'gaslit' by SEND system in crisis, published at 06:05 15 April",Mother 'gaslit' by SEND system in crisis,Sussex
16:39 14 April,"'Truly inspiring' tennis club wins top award , published at 16:39 14 April",'Truly inspiring' tennis club wins top award,Gloucestershire
13:57 14 April,"'Direct payments helped me to become an artist' , published at 13:57 14 April",'Direct payments helped me to become an artist',Manchester
06:06 14 April,"Recycled beach boardwalk 'will improve access', published at 06:06 14 April",Recycled beach boardwalk 'will improve access',Devon
01:08 14 April,"'I've been threatened over my Please Offer Me A Seat badge', published at 01:08 14 April",'I've been threatened over my Please Offer Me A Seat badge',London
12:40 13 April,"Wheelchair basketball club receives £24k donation, published at 12:40 13 April",Wheelchair basketball club receives £24k donation,Somerset
07:28 13 April,"New SEN school for 250 pupils planned in city, published at 07:28 13 April",New SEN school for 250 pupils planned in city,Liverpool
07:16 12 April,"SEND rugby 'incredibly friendly and inclusive game', published at 07:16 12 April",SEND rugby 'incredibly friendly and inclusive game',Oxfordshire
06:53 12 April,"Walking football club 'one big happy family', published at 06:53 12 April",Walking football club 'one big happy family',Gloucestershire
01:15 12 April,"How 'deaf rage' inspired groundbreaking sign language thriller, published at 01:15 12 April",How 'deaf rage' inspired groundbreaking sign language thriller,Disability
12:28 11 April,"School project to provide up to 70 new SEND spaces, published at 12:28 11 April",School project to provide up to 70 new SEND spaces,Stoke & Staffordshire
19:08 10 April,"Man leaves pub as staff question assistance dog ID, published at 19:08 10 April",Man leaves pub as staff question assistance dog ID,Devon
16:44 10 April,"Wheelchair accessible crazy golf is 'UK's first', published at 16:44 10 April",Wheelchair accessible crazy golf is 'UK's first',Oxfordshire
10:36 10 April,"Tributes after death of councillor Frank Letch, published at 10:36 10 April",Tributes after death of councillor Frank Letch,Devon
06:58 10 April,"Disabilities charity closes due to rising costs, published at 06:58 10 April",Disabilities charity closes due to rising costs,Suffolk
06:23 10 April,"'My support dog helped me succeed', published at 06:23 10 April",'My support dog helped me succeed',Birmingham & Black Country
06:11 10 April,"New facilities open at SEND school, published at 06:11 10 April",New facilities open at SEND school,Surrey
06:03 10 April,"Blind climber edges closer to Paralympics dream, published at 06:03 10 April",Blind climber edges closer to Paralympics dream,London
08:27 9 April,"Mobility scooter users can apply to use bus route, published at 08:27 9 April",Mobility scooter users can apply to use bus route,Isle of Man
06:08 9 April,"Good vibrations at Rose's deaf rave. Video, 00:00:57, published at 06:08 9 April",Good vibrations at Rose's deaf rave,Disability
06:04 9 April,"'I can get out in nature just like everybody else', published at 06:04 9 April",'I can get out in nature just like everybody else',Cornwall
05:45 9 April,"Visually impaired group creates radio station play, published at 05:45 9 April",Visually impaired group creates radio station play,Suffolk
22:29 8 April,"Tributes to disabled man who 'excelled in everything' , published at 22:29 8 April",Tributes to disabled man who 'excelled in everything',Wales
08:45 8 April,"Writer proud of 'groundbreaking' bilingual show, published at 08:45 8 April",Writer proud of 'groundbreaking' bilingual show,England
15:40 7 April,"Council ordered to reassess boy's school transport, published at 15:40 7 April",Council ordered to reassess boy's school transport,Birmingham & Black Country
13:57 7 April,"RL player's high hopes for crowd-funded wheelchair, published at 13:57 7 April",RL player's high hopes for crowd-funded wheelchair,England
06:15 7 April,"Closing vulnerable adults' hub 'will destroy them', published at 06:15 7 April",Closing vulnerable adults' hub 'will destroy them',Peterborough
13:30 6 April,"School for children with autism put on hold, published at 13:30 6 April",School for children with autism put on hold,Berkshire
07:13 5 April,"Project relaunched to improve access to cycling , published at 07:13 5 April",Project relaunched to improve access to cycling,Guernsey
13:58 4 April,"Why Sally Phillips's son loves meeting her on-screen kids. Video, 00:00:58, published at 13:58 4 April",Why Sally Phillips's son loves meeting her on-screen kids,Disability
11:58 4 April,"'Autism charity helped me become a better version of myself', published at 11:58 4 April",'Autism charity helped me become a better version of myself',Wales
06:15 4 April,"New scheme lets shoppers spend a penny for free, published at 06:15 4 April",New scheme lets shoppers spend a penny for free,Norfolk
19:09 3 April,"Blind Veterans UK to close Llandudno centre, published at 19:09 3 April",Blind Veterans UK to close Llandudno centre,Wales
06:58 3 April,"'I've done better than anyone dared to hope', published at 06:58 3 April",'I've done better than anyone dared to hope',Tyne
06:44 3 April,"Staff shortages for SEN school leavers 'off the scale', published at 06:44 3 April",Staff shortages for SEN school leavers 'off the scale',Northern Ireland
06:44 3 April,"Disabled riding charity prepares for £2.2m move, published at 06:44 3 April",Disabled riding charity prepares for £2.2m move,Hereford & Worcester
02:24 3 April,"'I was a Premier League referee, but now I'm learning to walk again', published at 02:24 3 April","'I was a Premier League referee, but now I'm learning to walk again'",South Yorkshire
19:08 2 April,"Council to pay £7,900 after special needs failures, published at 19:08 2 April","Council to pay £7,900 after special needs failures",Oxfordshire
17:03 2 April,"Disabled riding school 'devastated' over gang raid, published at 17:03 2 April",Disabled riding school 'devastated' over gang raid,Coventry & Warwickshire
10:12 2 April,"Accessible play area like 'weight has been lifted', published at 10:12 2 April",Accessible play area like 'weight has been lifted',Bristol
06:35 2 April,"Inclusive theatre group to perform iconic show, published at 06:35 2 April",Inclusive theatre group to perform iconic show,Stoke & Staffordshire
06:14 2 April,"Charity 'devastated' after shepherd's hut stolen, published at 06:14 2 April",Charity 'devastated' after shepherd's hut stolen,Dorset
14:35 1 April,"Disabled mother 'already struggling' ahead of cuts, published at 14:35 1 April",Disabled mother 'already struggling' ahead of cuts,Berkshire
11:13 1 April,"120 new specialist school places set to be created, published at 11:13 1 April",120 new specialist school places set to be created,Somerset
09:17 1 April,"Film on disability barriers nominated for Bafta, published at 09:17 1 April",Film on disability barriers nominated for Bafta,Kent
06:17 1 April,"Deaf woman models cochlear implant in British Vogue, published at 06:17 1 April",Deaf woman models cochlear implant in British Vogue,Gloucestershire
06:11 1 April,"Wheelchair user 'trapped' in flat after lift breaks, published at 06:11 1 April",Wheelchair user 'trapped' in flat after lift breaks,West Yorkshire
16:08 31 March,"When it's time to face your toughest crowd yet. Video, 00:01:13, published at 16:08 31 March",When it's time to face your toughest crowd yet,Disability
06:11 31 March,"'I was lucky to lose my leg', says disabled racer, published at 06:11 31 March","'I was lucky to lose my leg', says disabled racer",Sussex
06:11 31 March,"Disabled man 'angry and upset' at carer bus pass cuts, published at 06:11 31 March",Disabled man 'angry and upset' at carer bus pass cuts,Hampshire & Isle of Wight
06:10 31 March,"England boss aims to raise Down's syndrome awareness, published at 06:10 31 March",England boss aims to raise Down's syndrome awareness,Derbyshire
06:10 31 March,"'I want to help others with additional needs thrive', published at 06:10 31 March",'I want to help others with additional needs thrive',Birmingham & Black Country
06:09 31 March,"Benefit changes could be 'life or death' - claimant, published at 06:09 31 March",Benefit changes could be 'life or death' - claimant,Berkshire
05:57 31 March,"Charity shop offers SEND pupils work experience, published at 05:57 31 March",Charity shop offers SEND pupils work experience,South Yorkshire
15:54 30 March,"Being a carer and mother is 'a tough journey', published at 15:54 30 March",Being a carer and mother is 'a tough journey',England
12:16 29 March,"'I never left the house until I found powerchair football', published at 12:16 29 March",'I never left the house until I found powerchair football',West Yorkshire
07:20 29 March,"Guide dog family set for 'special' Mother's Day, published at 07:20 29 March",Guide dog family set for 'special' Mother's Day,Coventry & Warwickshire
02:30 29 March,"'I had to use a goods lift to go for an abortion', published at 02:30 29 March",'I had to use a goods lift to go for an abortion',
06:28 28 March,"Specialist care home has extension plans approved, published at 06:28 28 March",Specialist care home has extension plans approved,Peterborough
06:20 28 March,"SEND delay 'horrible' for boy, 11, published at 06:20 28 March","SEND delay 'horrible' for boy, 11",Berkshire
06:16 28 March,"'Nothing stops me,' says surfer with one leg, published at 06:16 28 March","'Nothing stops me,' says surfer with one leg",Cornwall
06:09 28 March,"Show helps actor with Down's syndrome remember mum, published at 06:09 28 March",Show helps actor with Down's syndrome remember mum,England
06:01 28 March,"'We advise businesses how to improve on disability', published at 06:01 28 March",'We advise businesses how to improve on disability',Surrey
19:15 27 March,"Rose Ayling-Ellis on the hidden story of British Sign Language. Video, 00:01:00, published at 19:15 27 March",Rose Ayling-Ellis on the hidden story of British Sign Language,Disability
18:05 26 March,"Lack of signer halts deaf influencer's inquest, published at 18:05 26 March",Lack of signer halts deaf influencer's inquest,Sussex
17:37 26 March,"'It feels like my life isn't worth paying for', published at 17:37 26 March",'It feels like my life isn't worth paying for',Sussex
17:12 26 March,"'Disabled people need a fairer outcome', published at 17:12 26 March",'Disabled people need a fairer outcome',Surrey
15:23 26 March,"Who are the millions of Britons not working?, published at 15:23 26 March",Who are the millions of Britons not working?,Business
15:15 26 March,"Pupils design hub to improve special needs support, published at 15:15 26 March",Pupils design hub to improve special needs support,Lincolnshire
14:55 26 March,"Woman 'losing sleep' over disability welfare reform, published at 14:55 26 March",Woman 'losing sleep' over disability welfare reform,Wales
09:50 26 March,"More special education places planned for college, published at 09:50 26 March",More special education places planned for college,Surrey
20:18 25 March,"Paralympics swim star Poppy Maskill collects MBE, published at 20:18 25 March",Paralympics swim star Poppy Maskill collects MBE,Manchester
19:08 25 March,"Special school expansion signed off by council, published at 19:08 25 March",Special school expansion signed off by council,Sussex
15:20 25 March,"'Charity gave me purpose after my accident', published at 15:20 25 March",'Charity gave me purpose after my accident',Surrey
08:02 25 March,"Free teen SEND transport could end under new plans, published at 08:02 25 March",Free teen SEND transport could end under new plans,
07:35 25 March,"Charity workers 'heartbroken' after minibus theft, published at 07:35 25 March",Charity workers 'heartbroken' after minibus theft,West Yorkshire
06:21 24 March,"Disabled people slam 'terrifying' changes to PIP, published at 06:21 24 March",Disabled people slam 'terrifying' changes to PIP,Hampshire & Isle of Wight
06:11 24 March,"'Makaton has made our bond so much stronger', published at 06:11 24 March",'Makaton has made our bond so much stronger',Derbyshire
06:04 24 March,"'What we used to do for 1-2 pupils, we're now doing for the whole class', published at 06:04 24 March","'What we used to do for 1-2 pupils, we're now doing for the whole class'",England
16:15 23 March,"Dance-off raises £36k for Down's syndrome charity, published at 16:15 23 March",Dance-off raises £36k for Down's syndrome charity,Northamptonshire
10:11 23 March,"Welfare changes 'scary' for carers, published at 10:11 23 March",Welfare changes 'scary' for carers,England
09:31 23 March,"Welfare cuts worry workers with learning difficulties, published at 09:31 23 March",Welfare cuts worry workers with learning difficulties,Essex
08:33 23 March,"Family 'begged for help' with son's violence, published at 08:33 23 March",Family 'begged for help' with son's violence,England
07:09 23 March,"My son loves to swim but felt unwelcome at pool, published at 07:09 23 March",My son loves to swim but felt unwelcome at pool,Wales
15:57 22 March,"Trampoline park 'kicks out' boy with Down's syndrome, published at 15:57 22 March",Trampoline park 'kicks out' boy with Down's syndrome,Somerset
15:47 22 March,"Artist's exhibition shortlisted for global award, published at 15:47 22 March",Artist's exhibition shortlisted for global award,Hull & East Yorkshire
12:14 22 March,"Mencap urges NHS to improve disabled patient care, published at 12:14 22 March",Mencap urges NHS to improve disabled patient care,Norfolk
10:58 22 March,"Display celebrates children with Down's syndrome, published at 10:58 22 March",Display celebrates children with Down's syndrome,England
08:19 22 March,"Crystal Palace fan dreaming of Selhurst Park gig. Video, 00:01:28, published at 08:19 22 March",Crystal Palace fan dreaming of Selhurst Park gig,London
07:15 22 March,"Somerset event marks World Down's Syndrome Day, published at 07:15 22 March",Somerset event marks World Down's Syndrome Day,Somerset
06:41 22 March,"'Beaming with confidence': Skiers dominate Special Olympics, published at 06:41 22 March",'Beaming with confidence': Skiers dominate Special Olympics,Northern Ireland
12:47 21 March,"'It's amazing being an overnight TikTok sensation' Video, 00:00:59, published at 12:47 21 March",'It's amazing being an overnight TikTok sensation',Wales
08:37 21 March,"'It's amazing being an overnight TikTok sensation', published at 08:37 21 March",'It's amazing being an overnight TikTok sensation',Wales
08:36 21 March,"'People with Down's syndrome are amazing' Video, 00:00:59, published at 08:36 21 March",'People with Down's syndrome are amazing',Wales
